Model,MAPE,MAE,RMSE
FLANN,0.2899321150674995,0.27653947628619263,0.33624186152329055
MLP,0.3015029810528212,0.28777633601691593,0.36882509292702786
"ARIMA(1,1,1)",0.6501083809155646,0.6226191387418721,0.7625633216255576
